Profile Name,Company Name,Experience,Apply By,Skills Required,Salary,Page,URL,Timestamp,City
Junior Product Associate,Mittal Creations - Microw Trousers,0 year(s),Not Found,"Product Management, Informal dress code, 5 days a week, Health Insurance, Life Insurance",Not Mentioned,3,https://internshala.com/job/detail/fresher-junior-product-associate-job-in-multiple-locations-at-mittal-creations-microw-trousers1744891755,01-05-2025 10:57,Jaipur
Customer Service Executive,Mighty Avengers Solar Pvt. Ltd.,0 year(s),Not Found,"English Proficiency (Spoken), Interpersonal skills","₹ 2,00,000 - 2,40,000",3,https://internshala.com/job/detail/fresher-customer-service-executive-job-in-jaipur-at-mighty-avengers-solar-pvt-ltd1744888468,01-05-2025 10:57,Jaipur
Business Development Executive,Mr n Mrs Pet,1 year(s),Not Found,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales, Informal dress code","₹ 2,00,000 - 4,00,000",3,https://internshala.com/job/detail/business-development-executive-job-in-jaipur-at-mr-n-mrs-pet1744885092,01-05-2025 10:57,Jaipur
Sales And Customer Support Executive,Mr n Mrs Pet,1 year(s),Not Found,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Sales, Informal dress code","₹ 2,00,000 - 4,00,000",3,https://internshala.com/job/detail/sales-and-customer-support-executive-job-in-jaipur-at-mr-n-mrs-pet1744884988,01-05-2025 10:57,Jaipur
Psychologist,BrainHap,0 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), Informal dress code",Not Mentioned,3,https://internshala.com/job/detail/fresher-psychologist-job-in-multiple-locations-at-brainhap1744884758,01-05-2025 10:57,Jaipur
Search Engine Optimisation (SEO) Executive,Mr n Mrs Pet,1 year(s),Not Found,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Informal dress code","₹ 2,00,000 - 3,00,000",4,https://internshala.com/job/detail/search-engine-optimisation-seo-executive-job-in-jaipur-at-mr-n-mrs-pet1744881667,01-05-2025 10:57,Jaipur
Customer Engagement & Operations Executive,Pristine Auto Care,0 year(s),Not Found,"B2B Sales, Business Development, Client Relationship Management (CRM), Interpersonal skills, Lead Generation, Marketing, Marketing Campaigns, MS-Excel, MS-Office, Operations, Sales Support","₹ 4,00,000 - 5,00,000",4,https://internshala.com/job/detail/fresher-customer-engagement-operations-executive-job-in-jaipur-at-pristine-auto-care1744881288,01-05-2025 10:57,Jaipur
Junior Videographer,Mohit Totlani,1 year(s),Not Found,"Cinematography, Video Editing, Videography, Video Making, Informal dress code",Not Mentioned,4,https://internshala.com/job/detail/junior-videographer-job-in-jaipur-at-mohit-totlani1744869486,01-05-2025 10:57,Jaipur
Inside Sales Associate,The Wellness Shop,0 year(s),Not Found,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Informal dress code","₹ 2,00,000 - 2,16,000",4,https://internshala.com/job/detail/fresher-inside-sales-associate-job-in-jaipur-at-the-wellness-shop1744863677,01-05-2025 10:57,Jaipur
Corporate Sales Associate,IBWC,0 year(s),Not Found,"Client Relationship Management (CRM), Effective Communication, Interpersonal skills, MS-Office, Teamwork","₹ 2,70,000 - 5,40,000",4,https://internshala.com/job/detail/fresher-corporate-sales-associate-job-in-jaipur-at-ibwc1744804726,01-05-2025 10:57,Jaipur
